Stemming,negasi
bisa bantu,"['bisa', 'bantu']"
mantabpp goodd jos,"['mantabpp', 'goodd', 'jos']"
terimakasih kredivo sudah bantu dengan baik dan cepat tangap sangat bisa di butuh dalam ada urgent,"['terimakasih', 'kredivo', 'sudah', 'bantu', 'dengan', 'baik', 'dan', 'cepat', 'tangap', 'sangat', 'bisa', 'di', 'butuh', 'dalam', 'ada', 'urgent']"
sy atas nm jainul ada apa dengan apk saya tiba di tutup lalu di minta daftar ulang sdh kasi semua data saya terus respon dari kredivo tunggu bln kan saya sedang bayar cicil bagai mana bayar saya gak bisa lihat di apk kalau memang gak di tuju aju dari awal jd kami bagai cs tdk jebak jd waspada hal ini karna di minta kembali data saya mohon di bantu untuk bisa aktif kembali apk saya kalau tdk kasi pinjam lg gk masalah bagi saya tapi telah selesai pembayara,"['sy', 'atas', 'nm', 'jainul', 'ada', 'apa', 'dengan', 'apk', 'saya', 'tiba', 'di', 'tutup', 'lalu', 'di', 'minta', 'daftar', 'ulang', 'sdh', 'kasi', 'semua', 'data', 'saya', 'terus', 'respon', 'dari', 'kredivo', 'tunggu', 'bln', 'kan', 'saya', 'sedang', 'bayar', 'cicil', 'bagai', 'mana', 'bayar', 'saya', 'tidak_bisa', 'lihat', 'di', 'apk', 'kalau', 'memang', 'tidak_di', 'tuju', 'aju', 'dari', 'awal', 'jd', 'kami', 'bagai', 'cs', 'tdk', 'jebak', 'jd', 'waspada', 'hal', 'ini', 'karna', 'di', 'minta', 'kembali', 'data', 'saya', 'mohon', 'di', 'bantu', 'untuk', 'bisa', 'aktif', 'kembali', 'apk', 'saya', 'kalau', 'tdk', 'kasi', 'pinjam', 'lg', 'gk', 'masalah', 'bagi', 'saya', 'tapi', 'telah', 'selesai', 'pembayara']"
kredivo ini kurang bagus iya masa aku ada tagih pulsa nila sedang aku tidak pernah beli atau hutang pulsa atau data lewat kredivo malah ada tagih terus kemarin aku bayar cicil udah sesuai nominal malah di tagih lagi kata masih kurang padahal aku bayar nya sudah sesuai tagih apa perlu di lapor ke polisi dulu apa di viralkan dulu harus kalau punya aplikasi itu harus amanah jangan cari untung aja kayak gin kan yang di rugi yang punya cicil,"['kredivo', 'ini', 'kurang', 'bagus', 'iya', 'masa', 'aku', 'ada', 'tagih', 'pulsa', 'nila', 'sedang', 'aku', 'tidak_pernah', 'beli', 'atau', 'hutang', 'pulsa', 'atau', 'data', 'lewat', 'kredivo', 'malah', 'ada', 'tagih', 'terus', 'kemarin', 'aku', 'bayar', 'cicil', 'udah', 'sesuai', 'nominal', 'malah', 'di', 'tagih', 'lagi', 'kata', 'masih', 'kurang', 'padahal', 'aku', 'bayar', 'nya', 'sudah', 'sesuai', 'tagih', 'apa', 'perlu', 'di', 'lapor', 'ke', 'polisi', 'dulu', 'apa', 'di', 'viralkan', 'dulu', 'harus', 'kalau', 'punya', 'aplikasi', 'itu', 'harus', 'amanah', 'tidak_cari', 'untung', 'aja', 'kayak', 'gin', 'kan', 'yang', 'di', 'rugi', 'yang', 'punya', 'cicil']"
sangat batu,"['sangat', 'batu']"
cara kerja yg profesional,"['cara', 'kerja', 'yg', 'profesional']"
kredivo kenapa sih tiba tiba ga bisa transaksi padahal ga pernah telat udh tahun pake baru kali ini kaya gin tolong dong padahal udh update aneh tibatiba ga bisa biasa bisa bisa aja padahal cmn untuk pulsa,"['kredivo', 'kenapa', 'sih', 'tiba', 'tiba', 'ga', 'bisa', 'transaksi', 'padahal', 'ga', 'pernah', 'telat', 'udh', 'tahun', 'pake', 'baru', 'kali', 'ini', 'kaya', 'gin', 'tolong', 'dong', 'padahal', 'udh', 'update', 'aneh', 'tibatiba', 'ga', 'bisa', 'biasa', 'bisa', 'bisa', 'aja', 'padahal', 'cmn', 'untuk', 'pulsa']"
suka pakai kredivo karena cepat dan sangat efektif yg penting pembyaran lancar dan tepat waktu cicil lama tenor tinggi pokok ok banget salam hangat,"['suka', 'pakai', 'kredivo', 'karena', 'cepat', 'dan', 'sangat', 'efektif', 'yg', 'penting', 'pembyaran', 'lancar', 'dan', 'tepat', 'waktu', 'cicil', 'lama', 'tenor', 'tinggi', 'pokok', 'ok', 'banget', 'salam', 'hangat']"
bingung kenapa nggak ada tunggak nggak ada cicil nggak ada telat belum tgl sudah bayar ehh mau aju alas macam padahal sudah lunas gimana konsumen mau senang kalau kaya gin,"['bingung', 'kenapa', 'nggak', 'ada', 'tunggak', 'nggak', 'ada', 'cicil', 'nggak', 'ada', 'telat', 'belum', 'tgl', 'sudah', 'bayar', 'ehh', 'mau', 'aju', 'alas', 'macam', 'padahal', 'sudah', 'lunas', 'gimana', 'konsumen', 'mau', 'senang', 'kalau', 'kaya', 'gin']"
