CaseFolding,Tokenizing
cepat persetujuan nya dan memudahkan bertransaksi tanpa uang tunai pembayaran pinjaman mudah dan cepat memberikan notifikasi nya cucok banget  recomended sdh lama menggunakan kredivo  semoga pelayanan terus dijaga,"['cepat', 'persetujuan', 'nya', 'dan', 'memudahkan', 'bertransaksi', 'tanpa', 'uang', 'tunai', 'pembayaran', 'pinjaman', 'mudah', 'dan', 'cepat', 'memberikan', 'notifikasi', 'nya', 'cucok', 'banget', 'recomended', 'sdh', 'lama', 'menggunakan', 'kredivo', 'semoga', 'pelayanan', 'terus', 'dijaga']"
angsuran eingan  proses cepat  semoga aman  rekomended utk teman senang pakai aplikasi ini  nyaman dan sangat membantu  sukses terus kredivo terus membantu kita semua,"['angsuran', 'eingan', 'proses', 'cepat', 'semoga', 'aman', 'rekomended', 'utk', 'teman', 'senang', 'pakai', 'aplikasi', 'ini', 'nyaman', 'dan', 'sangat', 'membantu', 'sukses', 'terus', 'kredivo', 'terus', 'membantu', 'kita', 'semua']"
bagus aplikasinya saya pas lagi bingung pas nemu aplikasi ini ngerasa kebantu banget maaf saya mau tanya ini ada yg wa saya katanya ada perbaikan data dana yg sudah saya pinjam harus fi kembalikan dulu apakah benar kl tidak saya akan dilaporkan atau di beclis tolong bantuanya aoakah benar dari tadi nelpon terus,"['bagus', 'aplikasinya', 'saya', 'pas', 'lagi', 'bingung', 'pas', 'nemu', 'aplikasi', 'ini', 'ngerasa', 'kebantu', 'banget', 'maaf', 'saya', 'mau', 'tanya', 'ini', 'ada', 'yg', 'wa', 'saya', 'katanya', 'ada', 'perbaikan', 'data', 'dana', 'yg', 'sudah', 'saya', 'pinjam', 'harus', 'fi', 'kembalikan', 'dulu', 'apakah', 'benar', 'kl', 'tidak', 'saya', 'akan', 'dilaporkan', 'atau', 'di', 'beclis', 'tolong', 'bantuanya', 'aoakah', 'benar', 'dari', 'tadi', 'nelpon', 'terus']"
beli pulsa  token listrik  top up ewalet  selalu di tolak padahal sudah tidak ada tagihan  mendingan saya tutup akun permanen kalau gitu  selalu muncul keterangan perbanyak transaksi anda  mau perbanyak transaksi bagaiman kalau beli pulsa aja selalu di tolak  itu bintan kalau bisa di ilangin sya kasi nol bintang  jadi curhat sya  hahhahahaha,"['beli', 'pulsa', 'token', 'listrik', 'top', 'up', 'ewalet', 'selalu', 'di', 'tolak', 'padahal', 'sudah', 'tidak', 'ada', 'tagihan', 'mendingan', 'saya', 'tutup', 'akun', 'permanen', 'kalau', 'gitu', 'selalu', 'muncul', 'keterangan', 'perbanyak', 'transaksi', 'anda', 'mau', 'perbanyak', 'transaksi', 'bagaiman', 'kalau', 'beli', 'pulsa', 'aja', 'selalu', 'di', 'tolak', 'itu', 'bintan', 'kalau', 'bisa', 'di', 'ilangin', 'sya', 'kasi', 'nol', 'bintang', 'jadi', 'curhat', 'sya', 'hahhahahaha']"
bisa membantu,"['bisa', 'membantu']"
mantabpp goodd jos,"['mantabpp', 'goodd', 'jos']"
terimakasih kredivo sudah membantu dengan baik dan cepat tangap  sangat bisa di butuhkan dalam keadaan urgent,"['terimakasih', 'kredivo', 'sudah', 'membantu', 'dengan', 'baik', 'dan', 'cepat', 'tangap', 'sangat', 'bisa', 'di', 'butuhkan', 'dalam', 'keadaan', 'urgent']"
sy atas nm jainul  ada apa dengan apk saya tiba  di tutup lalu di minta daftar ulang sdh kasi semua data saya terus respon dari kredivo tunggu  bln  kan saya sedang pembayaran cicilan bagai mana pembayaran saya gak bisa melihat di apk  kalau memang gak di setujui pengajuan dari awal  jd kami sebagai cs tdk terjebak  jd waspada hal ini  karna di minta kembali data saya  mohon di bantu untuk bisa aktif kembali apk saya kalau tdk dikasi pinjam lg gk masalah bagi saya tapi setelah selesai pembayara,"['sy', 'atas', 'nm', 'jainul', 'ada', 'apa', 'dengan', 'apk', 'saya', 'tiba', 'di', 'tutup', 'lalu', 'di', 'minta', 'daftar', 'ulang', 'sdh', 'kasi', 'semua', 'data', 'saya', 'terus', 'respon', 'dari', 'kredivo', 'tunggu', 'bln', 'kan', 'saya', 'sedang', 'pembayaran', 'cicilan', 'bagai', 'mana', 'pembayaran', 'saya', 'gak', 'bisa', 'melihat', 'di', 'apk', 'kalau', 'memang', 'gak', 'di', 'setujui', 'pengajuan', 'dari', 'awal', 'jd', 'kami', 'sebagai', 'cs', 'tdk', 'terjebak', 'jd', 'waspada', 'hal', 'ini', 'karna', 'di', 'minta', 'kembali', 'data', 'saya', 'mohon', 'di', 'bantu', 'untuk', 'bisa', 'aktif', 'kembali', 'apk', 'saya', 'kalau', 'tdk', 'dikasi', 'pinjam', 'lg', 'gk', 'masalah', 'bagi', 'saya', 'tapi', 'setelah', 'selesai', 'pembayara']"
kredivo ini kurang bagus iya  masa aku ada tagihan pulsa senilai sedang aku tidak pernah beli atau hutang pulsa atau data lewat kredivo  malah ada tagihan terus kemarin aku bayar cicilan udah sesuai nominal malah di tagih lagi katanya masih kurang padahal aku bayar nya sudah sesuai tagihan apa perlu di laporkan ke polisi dulu apa di viralkan dulu seharusnya kalau punya aplikasi itu harus amanah jangan cari untung aja  kayak gini kan yang di rugikan yang punya cicilan,"['kredivo', 'ini', 'kurang', 'bagus', 'iya', 'masa', 'aku', 'ada', 'tagihan', 'pulsa', 'senilai', 'sedang', 'aku', 'tidak', 'pernah', 'beli', 'atau', 'hutang', 'pulsa', 'atau', 'data', 'lewat', 'kredivo', 'malah', 'ada', 'tagihan', 'terus', 'kemarin', 'aku', 'bayar', 'cicilan', 'udah', 'sesuai', 'nominal', 'malah', 'di', 'tagih', 'lagi', 'katanya', 'masih', 'kurang', 'padahal', 'aku', 'bayar', 'nya', 'sudah', 'sesuai', 'tagihan', 'apa', 'perlu', 'di', 'laporkan', 'ke', 'polisi', 'dulu', 'apa', 'di', 'viralkan', 'dulu', 'seharusnya', 'kalau', 'punya', 'aplikasi', 'itu', 'harus', 'amanah', 'jangan', 'cari', 'untung', 'aja', 'kayak', 'gini', 'kan', 'yang', 'di', 'rugikan', 'yang', 'punya', 'cicilan']"
sangat membatu,"['sangat', 'membatu']"
cara kerja yg profesional,"['cara', 'kerja', 'yg', 'profesional']"
kredivo kenapa sih tiba tiba ga bisa transaksi padahal ga pernah telat udh setahun pake baru kali ini kaya gini tolong dong padahal udh update aneh tibatiba ga bisa biasanya bisa bisa aja padahal cmn untuk pulsa,"['kredivo', 'kenapa', 'sih', 'tiba', 'tiba', 'ga', 'bisa', 'transaksi', 'padahal', 'ga', 'pernah', 'telat', 'udh', 'setahun', 'pake', 'baru', 'kali', 'ini', 'kaya', 'gini', 'tolong', 'dong', 'padahal', 'udh', 'update', 'aneh', 'tibatiba', 'ga', 'bisa', 'biasanya', 'bisa', 'bisa', 'aja', 'padahal', 'cmn', 'untuk', 'pulsa']"
suka pakai kredivo  karena cepat  dan sangat efektif  yg penting pembyaran lancar dan tepat waktu  cicilan lama tenor tinggi  pokoknya ok banget salam hangat,"['suka', 'pakai', 'kredivo', 'karena', 'cepat', 'dan', 'sangat', 'efektif', 'yg', 'penting', 'pembyaran', 'lancar', 'dan', 'tepat', 'waktu', 'cicilan', 'lama', 'tenor', 'tinggi', 'pokoknya', 'ok', 'banget', 'salam', 'hangat']"
