Formalisasi,Stopword Removal
"['beli', 'pulsa', 'token', 'listrik', 'top', 'up', 'ewalet', 'selalu', 'di', 'tolak', 'padahal', 'sudah', 'tidak_ada', 'tagih', 'lebih baik', 'saya', 'tutup', 'akun', 'permanen', 'kalau', 'gitu', 'selalu', 'muncul', 'terang', 'banyak', 'transaksi', 'anda', 'mau', 'banyak', 'transaksi', 'bagaiman', 'kalau', 'beli', 'pulsa', 'saja', 'selalu', 'di', 'tolak', 'itu', 'bintan', 'kalau', 'bisa', 'di', 'ilangin', 'sya', 'kasih', 'nol', 'bintang', 'jadi', 'curhat', 'sya', 'hahhahahaha']",beli pulsa token listrik top up ewalet tolak tidak ada tagih lebih baik tutup akun permanen gitu muncul terang transaksi transaksi bagaiman beli pulsa tolak bintan ilangin sya kasih nol bintang curhat sya hahhahahaha
"['bisa', 'bantu']",bantu
"['mantabpp', 'goodd', 'jos']",mantabpp goodd jos
"['terima kasih', 'kredivo', 'sudah', 'bantu', 'dengan', 'baik', 'dan', 'cepat', 'tangap', 'sangat', 'bisa', 'di', 'butuh', 'dalam', 'ada', 'mendesak']",terima kasih kredivo bantu cepat tangap butuh mendesak
"['saya', 'atas', 'nm', 'jainul', 'ada', 'apa', 'dengan', 'aplikasi', 'saya', 'tiba', 'di', 'tutup', 'lalu', 'di', 'minta', 'daftar', 'ulang', 'sdh', 'kasih', 'semua', 'data', 'saya', 'terus', 'respon', 'dari', 'kredivo', 'tunggu', 'bulan', 'kan', 'saya', 'sedang', 'bayar', 'cicil', 'bagai', 'mana', 'bayar', 'saya', 'tidak_bisa', 'lihat', 'di', 'aplikasi', 'kalau', 'memang', 'tidak_di', 'tuju', 'aju', 'dari', 'awal', 'jadi', 'kami', 'bagai', 'cs', 'tidak', 'jebak', 'jadi', 'waspada', 'hal', 'ini', 'karena', 'di', 'minta', 'kembali', 'data', 'saya', 'mohon', 'di', 'bantu', 'untuk', 'bisa', 'aktif', 'kembali', 'aplikasi', 'saya', 'kalau', 'tidak', 'kasih', 'pinjam', 'lagi', 'gk', 'masalah', 'bagi', 'saya', 'tapi', 'telah', 'selesai', 'pembayara']",nm jainul aplikasi tutup daftar ulang sdh kasih data respon kredivo tunggu bayar cicil bayar tidak bisa lihat aplikasi tidak di tuju aju cs jebak waspada data mohon bantu aktif aplikasi kasih pinjam gk selesai pembayara
"['kredivo', 'ini', 'kurang', 'bagus', 'iya', 'masa', 'aku', 'ada', 'tagih', 'pulsa', 'nila', 'sedang', 'aku', 'tidak_pernah', 'beli', 'atau', 'hutang', 'pulsa', 'atau', 'data', 'lewat', 'kredivo', 'bahkan', 'ada', 'tagih', 'terus', 'kemarin', 'aku', 'bayar', 'cicil', 'sudah', 'sesuai', 'nominal', 'bahkan', 'di', 'tagih', 'lagi', 'kata', 'masih', 'kurang', 'padahal', 'aku', 'bayar', 'nya', 'sudah', 'sesuai', 'tagih', 'apa', 'perlu', 'di', 'lapor', 'ke', 'polisi', 'dulu', 'apa', 'di', 'viralkan', 'dulu', 'harus', 'kalau', 'punya', 'aplikasi', 'itu', 'harus', 'amanah', 'tidak_cari', 'untung', 'saja', 'kayak', 'gin', 'kan', 'yang', 'di', 'rugi', 'yang', 'punya', 'cicil']",kredivo bagus iya tagih pulsa nila tidak pernah beli hutang pulsa data kredivo tagih kemarin bayar cicil sesuai nominal tagih bayar nya sesuai tagih lapor polisi viralkan aplikasi amanah tidak cari untung kayak gin rugi cicil
"['sangat', 'batu']",batu
"['cara', 'kerja', 'yang', 'profesional']",kerja profesional
"['kredivo', 'kenapa', 'sih', 'tiba', 'tiba', 'ga', 'bisa', 'transaksi', 'padahal', 'ga', 'pernah', 'terlambat', 'udh', 'tahun', 'pakai', 'baru', 'kali', 'ini', 'kayak', 'gin', 'tolong', 'dong', 'padahal', 'udh', 'terbaru', 'aneh', 'tiba', 'ga', 'bisa', 'biasa', 'bisa', 'bisa', 'saja', 'padahal', 'cmn', 'untuk', 'pulsa']",kredivo sih ga transaksi ga terlambat udh pakai kali kayak gin tolong udh terbaru aneh ga cmn pulsa
"['suka', 'pakai', 'kredivo', 'karena', 'cepat', 'dan', 'sangat', 'efektif', 'yang', 'penting', 'pembyaran', 'lancar', 'dan', 'tepat', 'waktu', 'cicil', 'lama', 'tenor', 'tinggi', 'pokok', 'ok', 'banget', 'salam', 'hangat']",suka pakai kredivo cepat efektif pembyaran lancar cicil tenor pokok ok banget salam hangat
